Date,MaxTemp,MinTemp,ObsCount,MeanPressure,MeanRH,MaxWind,TotalPrecip
2015-01-01,57,32,24,29.20,57.8,8,0.07
2015-01-02,49,44,33,29.18,88.4,12,1.31
2015-01-03,61,48,35,29.09,94.3,12,0.20
2015-01-04,66,44,47,29.00,85.2,23,3.94
2015-01-05,48,34,28,29.31,58.1,22,0.00
2015-01-06,53,30,24,29.19,53.2,20,0.00
2015-01-07,39,16,24,29.22,51.9,31,0.00
2015-01-08,32,11,24,29.38,40.9,17,0.00
2015-01-09,41,22,24,29.21,41.9,14,0.00
2015-01-10,46,21,24,29.35,35.8,15,0.00
2015-01-11,45,29,32,29.35,58.3,16,0.08
2015-01-12,48,39,44,29.13,95.8,10,0.02
2015-01-13,49,41,27,29.13,93.2,15,0.07
2015-01-14,44,37,34,29.14,86.0,12,0.00
2015-01-15,38,33,43,29.06,90.7,12,0.25
2015-01-16,53,32,28,29.07,67.4,16,0.00
2015-01-17,59,32,24,29.09,59.5,13,0.00
2015-01-18,59,40,28,28.98,56.1,26,0.00
2015-01-19,65,36,24,28.99,34.3,12,0.00
2015-01-20,66,45,24,28.90,46.2,10,0.00
2015-01-21,63,42,24,28.99,51.1,16,0.00
2015-01-22,55,40,24,29.15,44.0,10,0.05
2015-01-23,46,41,32,28.87,89.6,23,1.12
2015-01-24,48,37,37,28.75,74.2,22,0.01
2015-01-25,59,31,25,28.77,59.1,14,0.03
2015-01-26,45,34,40,28.73,78.8,23,0.02
2015-01-27,48,32,24,28.87,67.1,22,0.00
2015-01-28,55,32,26,29.11,52.5,17,0.00
2015-01-29,59,36,24,29.10,50.0,12,0.00
2015-01-30,55,36,25,29.15,48.2,26,0.00
2015-01-31,54,29,24,29.21,41.2,10,0.00
2015-02-01,57,40,34,28.94,72.1,17,0.65
2015-02-02,57,28,38,28.82,72.4,28,0.92
2015-02-03,50,25,24,29.19,50.7,14,0.00
2015-02-04,50,35,24,29.09,51.3,8,0.00
2015-02-05,50,31,24,29.03,44.9,23,0.00
2015-02-06,52,26,24,29.23,33.8,8,0.00
2015-02-07,64,33,24,29.12,33.4,13,0.00
2015-02-08,67,41,25,28.95,59.2,15,0.00
2015-02-09,63,44,44,28.74,83.6,21,0.81
2015-02-10,54,38,25,28.82,68.0,23,0.00
