Date,MOS_MaxTemp
2015-01-02,52.0
2015-01-03,60.0
2015-01-04,61.0
2015-01-05,48.0
2015-01-06,54.0
2015-01-07,39.0
2015-01-08,31.0
2015-01-09,41.0
2015-01-10,43.0
2015-01-11,42.0
2015-01-12,54.0
2015-01-13,50.0
2015-01-14,50.0
2015-01-15,51.0
2015-01-16,54.0
2015-01-17,57.0
2015-01-18,56.0
2015-01-19,60.0
2015-01-20,63.0
2015-01-21,63.0
2015-01-22,58.0
2015-01-23,50.0
2015-01-24,50.0
2015-01-25,55.0
2015-01-26,50.0
2015-01-27,48.0
2015-01-28,53.0
2015-01-29,55.0
2015-01-30,52.0
2015-01-31,56.0
2015-02-01,59.0
2015-02-02,43.0
2015-02-03,53.0
2015-02-04,58.0
2015-02-05,50.0
2015-02-06,53.0
2015-02-07,62.0
2015-02-08,63.0
2015-02-09,62.0
2015-02-10,54.0
2015-02-11,62.0
2015-02-12,47.0
2015-02-13,46.0
2015-02-14,57.0
2015-02-15,39.0
2015-02-16,46.0
2015-02-17,45.0
2015-02-18,46.0
2015-02-19,28.0
2015-02-20,40.0
2015-02-21,56.0
2015-02-22,62.0
2015-02-23,47.0
2015-02-24,46.0
2015-02-25,45.0
2015-02-26,47.0
2015-02-27,47.0
2015-02-28,48.0
2015-03-01,51.0
2015-03-02,61.0
2015-03-03,58.0
2015-03-04,72.0
2015-03-05,49.0
2015-03-06,50.0
2015-03-07,63.0
2015-03-08,70.0
2015-03-09,67.0
2015-03-10,75.0
2015-03-11,73.0
2015-03-12,64.0
2015-03-13,50.0
2015-03-14,73.0
2015-03-15,74.0
2015-03-16,78.0
2015-03-18,63.0
2015-03-19,56.0
2015-03-20,70.0
2015-03-21,73.0
2015-03-22,59.0
2015-03-23,59.0
2015-03-24,69.0
2015-03-25,73.0
2015-03-26,77.0
2015-03-27,57.0
2015-03-28,52.0
2015-03-29,60.0
2015-03-30,69.0
2015-03-31,72.0
2015-04-01,76.0
2015-04-02,71.0
2015-04-03,80.0
2015-04-04,67.0
2015-04-05,66.0
2015-04-06,69.0
2015-04-07,76.0
2015-04-08,85.0
2015-04-09,84.0
2015-04-10,75.0
2015-04-11,78.0
2015-04-12,74.0
2015-04-13,71.0
2015-04-14,78.0
2015-04-15,73.0
2015-04-16,66.0
2015-04-17,68.0
2015-04-18,77.0
2015-04-19,76.0
2015-04-20,75.0
2015-04-21,70.0
2015-04-22,78.0
2015-04-23,70.0
2015-04-24,75.0
2015-04-25,73.0
2015-04-26,78.0
2015-04-27,72.0
2015-04-28,69.0
2015-04-29,60.0
2015-04-30,72.0
2015-05-01,71.0
2015-05-02,78.0
2015-05-03,80.0
2015-05-04,80.0
2015-05-05,81.0
2015-05-06,81.0
2015-05-07,84.0
2015-05-08,86.0
2015-05-09,85.0
2015-05-10,85.0
2015-05-11,88.0
2015-05-12,85.0
2015-05-13,85.0
2015-05-14,81.0
2015-05-15,78.0
2015-05-16,82.0
2015-05-17,81.0
2015-05-18,83.0
2015-05-19,85.0
2015-05-20,87.0
2015-05-21,79.0
2015-05-22,77.0
2015-05-23,82.0
2015-05-24,82.0
2015-05-25,79.0
2015-05-26,82.0
2015-05-27,79.0
2015-05-28,82.0
2015-05-29,85.0
2015-05-30,85.0
2015-05-31,84.0
2015-06-01,83.0
2015-06-02,83.0
2015-06-03,83.0
2015-06-04,80.0
2015-06-05,86.0
2015-06-06,90.0
2015-06-07,91.0
2015-06-08,86.0
2015-06-09,83.0
2015-06-10,88.0
2015-06-11,87.0
2015-06-12,87.0
2015-06-13,91.0
2015-06-14,93.0
2015-06-15,95.0
2015-06-16,96.0
2015-06-17,97.0
2015-06-18,94.0
2015-06-19,92.0
2015-06-20,90.0
2015-06-21,94.0
